# Zuordnung .RAW aus z.pac -> Klangdatei der Engine
# erzeugt von tools/cd/match.py; Grundlage ist bitgleicher
# Inhalt. Nicht von Hand aendern.
# dosname rate pfad
AANISHOT.RAW   11025 assets/sounds/AANISHOT.wav
JACKHMMR.RAW   11025 assets/sounds/JACKHMMR.wav
JANISHOT.RAW   11025 assets/sounds/JANISHOT.wav
JBRDSHOT.RAW   11025 assets/sounds/JBRDSHOT.wav
JEEPMGUN.RAW   11025 assets/sounds/JEEPMGUN.wav
JNGBIRD1.RAW   11025 assets/sounds/JNGBIRD1.wav
JNGBIRD2.RAW   11025 assets/sounds/JNGBIRD2.wav
LASERGUN.RAW   11025 assets/sounds/LASERGUN.wav
LAVALOOP.RAW   11025 assets/sounds/LAVALOOP.wav
LTANKGUN.RAW   11025 assets/sounds/LTANKGUN.wav
LTGUN.RAW      11025 assets/sounds/LTGUN.wav
MACHGUN2.RAW   11025 assets/sounds/MACHGUN2.wav
METGRND.RAW    11025 assets/sounds/METGRND.wav
MOBIMIS2.RAW   11025 assets/sounds/MOBIMIS2.wav
MOBIMISS.RAW   11025 assets/sounds/MOBIMISS.wav
MONKEY.RAW     11025 assets/sounds/MONKEY.wav
MTANKGUN.RAW   11025 assets/sounds/MTANKGUN.wav
MUDGLUG1.RAW   11025 assets/sounds/MUDGLUG1.wav
MUDGLUG3.RAW   11025 assets/sounds/MUDGLUG3.wav
MUDPLOP1.RAW   11025 assets/sounds/MUDPLOP1.wav
MUDSPLSH.RAW   11025 assets/sounds/MUDSPLSH.wav
MULCANL.RAW    11025 assets/sounds/MULCANL.wav
MULCANR.RAW    11025 assets/sounds/MULCANR.wav
MUNCH.RAW      11025 assets/sounds/MUNCH.wav
OBJDEST3.RAW   11025 assets/sounds/OBJDEST3.wav
OWL2.RAW       11025 assets/sounds/OWL2.wav
PINGU1.RAW     11025 assets/sounds/PINGU1.wav
PINGU2.RAW     11025 assets/sounds/PINGU2.wav
PINGU3.RAW     11025 assets/sounds/PINGU3.wav
RADBLIP.RAW    11025 assets/sounds/RADBLIP.wav
RATTLEXX.RAW   11025 assets/sounds/RATTLEXX.wav
RECON2.RAW     11025 assets/sounds/RECON2.wav
RECON3.RAW     11025 assets/sounds/RECON3.wav
RICOCH1.RAW    11025 assets/sounds/RICOCH1.wav
RIFLE3.RAW     11025 assets/sounds/RIFLE3.wav
ROB01.RAW      11025 assets/sounds/ROB01.wav
ROB02.RAW      11025 assets/sounds/ROB02.wav
ROB03.RAW      11025 assets/sounds/ROB03.wav
ROB04.RAW      11025 assets/sounds/ROB04.wav
ROB05.RAW      11025 assets/sounds/ROB05.wav
ROB06.RAW      11025 assets/sounds/ROB06.wav
ROB07.RAW      11025 assets/sounds/ROB07.wav
ROB08.RAW      11025 assets/sounds/ROB08.wav
ROB09.RAW      11025 assets/sounds/ROB09.wav
ROB10.RAW      11025 assets/sounds/ROB10.wav
ROB11.RAW      11025 assets/sounds/ROB11.wav
ROB12.RAW      11025 assets/sounds/ROB12.wav
TEST.RAW       11025 assets/sounds/ROB13.wav
ROB14.RAW      11025 assets/sounds/ROB14.wav
ROB15.RAW      11025 assets/sounds/ROB15.wav
ROB16.RAW      11025 assets/sounds/ROB16.wav
ROB17.RAW      11025 assets/sounds/ROB17.wav
ROB18.RAW      11025 assets/sounds/ROB18.wav
ROB19.RAW      11025 assets/sounds/ROB19.wav
ROB20.RAW      11025 assets/sounds/ROB20.wav
ROB21.RAW      11025 assets/sounds/ROB21.wav
ROB22.RAW      11025 assets/sounds/ROB22.wav
ROB23.RAW      11025 assets/sounds/ROB23.wav
ROB24.RAW      11025 assets/sounds/ROB24.wav
ROB25.RAW      11025 assets/sounds/ROB25.wav
ROB26.RAW      11025 assets/sounds/ROB26.wav
ROB27.RAW      11025 assets/sounds/ROB27.wav
ROB28.RAW      11025 assets/sounds/ROB28.wav
ROB29.RAW      11025 assets/sounds/ROB29.wav
ROB30.RAW      11025 assets/sounds/ROB30.wav
ROB31.RAW      11025 assets/sounds/ROB31.wav
ROB32.RAW      11025 assets/sounds/ROB32.wav
ROB33.RAW      11025 assets/sounds/ROB33.wav
ROB34.RAW      11025 assets/sounds/ROB34.wav
ROB35.RAW      11025 assets/sounds/ROB35.wav
ROB36.RAW      11025 assets/sounds/ROB36.wav
ROB37.RAW      11025 assets/sounds/ROB37.wav
ROB38.RAW      11025 assets/sounds/ROB38.wav
ROB39.RAW      11025 assets/sounds/ROB39.wav
ROB40.RAW      11025 assets/sounds/ROB40.wav
ROB41.RAW      11025 assets/sounds/ROB41.wav
ROB42.RAW      11025 assets/sounds/ROB42.wav
ROB43.RAW      11025 assets/sounds/ROB43.wav
ROB44.RAW      11025 assets/sounds/ROB44.wav
ROB45.RAW      11025 assets/sounds/ROB45.wav
ROB46.RAW      11025 assets/sounds/ROB46.wav
ROB47.RAW      11025 assets/sounds/ROB47.wav
ROB48.RAW      11025 assets/sounds/ROB48.wav
ROB49.RAW      11025 assets/sounds/ROB49.wav
ROB50.RAW      11025 assets/sounds/ROB50.wav
ROB51.RAW      11025 assets/sounds/ROB51.wav
ROB52.RAW      11025 assets/sounds/ROB52.wav
ROB53.RAW      11025 assets/sounds/ROB53.wav
ROB54.RAW      11025 assets/sounds/ROB54.wav
ROB55.RAW      11025 assets/sounds/ROB55.wav
ROB56.RAW      11025 assets/sounds/ROB56.wav
ROB57.RAW      11025 assets/sounds/ROB57.wav
ROB58.RAW      11025 assets/sounds/ROB58.wav
ROB59.RAW      11025 assets/sounds/ROB59.wav
ROB60.RAW      11025 assets/sounds/ROB60.wav
ROB61.RAW      11025 assets/sounds/ROB61.wav
ROB62.RAW      11025 assets/sounds/ROB62.wav
ROB63.RAW      11025 assets/sounds/ROB63.wav
ROB64.RAW      11025 assets/sounds/ROB64.wav
ROB65.RAW      11025 assets/sounds/ROB65.wav
ROB66.RAW      11025 assets/sounds/ROB66.wav
ROB67.RAW      11025 assets/sounds/ROB67.wav
ROB68.RAW      11025 assets/sounds/ROB68.wav
ROB69.RAW      11025 assets/sounds/ROB69.wav
ROB70.RAW      11025 assets/sounds/ROB70.wav
ROB71.RAW      11025 assets/sounds/ROB71.wav
ROB72.RAW      11025 assets/sounds/ROB72.wav
ROB73.RAW      11025 assets/sounds/ROB73.wav
ROB74.RAW      11025 assets/sounds/ROB74.wav
ROB75.RAW      11025 assets/sounds/ROB75.wav
ROBFACT5.RAW   11025 assets/sounds/ROBFACT5.wav
RSSBLIPL.RAW   11025 assets/sounds/RSSBLIPL.wav
RSSBLIPR.RAW   11025 assets/sounds/RSSBLIPR.wav
SEAL1.RAW      11025 assets/sounds/SEAL1.wav
SEWAGELP.RAW   11025 assets/sounds/SEWAGELP.wav
SPARC2L.RAW    11025 assets/sounds/SPARC2L.wav
SPARC2R.RAW    11025 assets/sounds/SPARC2R.wav
SPLASH1.RAW    11025 assets/sounds/SPLASH1.wav
SPLASH2.RAW    11025 assets/sounds/SPLASH2.wav
STRMLOOP.RAW   11025 assets/sounds/STRMLOOP.wav
SWITCHL.RAW    11025 assets/sounds/SWITCHL.wav
SWITCHR.RAW    11025 assets/sounds/SWITCHR.wav
TRUCKROL.RAW   11025 assets/sounds/TRUCKROL.wav
VBIRD1.RAW     11025 assets/sounds/VBIRD1.wav
VBRDSHOT.RAW   11025 assets/sounds/VBRDSHOT.wav
VOLCGLG.RAW    11025 assets/sounds/VOLCGLG.wav
VOLCGLG2.RAW   11025 assets/sounds/VOLCGLG2.wav
VOLCSPIT.RAW   11025 assets/sounds/VOLCSPIT.wav
VOLCSPT2.RAW   11025 assets/sounds/VOLCSPT2.wav
WAVELAP1.RAW   11025 assets/sounds/WAVELAP1.wav
WIND2.RAW      11025 assets/sounds/WIND2.wav
WIND8.RAW      11025 assets/sounds/WIND8.wav
ZEXPLO3.RAW    11025 assets/sounds/ZEXPLO3.wav
ZEXPLO4.RAW    11025 assets/sounds/ZEXPLO4.wav
ZEXPLO5.RAW    11025 assets/sounds/ZEXPLO5.wav
TEST.RAW       11025 assets/sounds/acknowledge_00.wav
ROB14.RAW      11025 assets/sounds/acknowledge_01.wav
ROB15.RAW      11025 assets/sounds/acknowledge_02.wav
ROB16.RAW      11025 assets/sounds/acknowledge_03.wav
ROB17.RAW      11025 assets/sounds/acknowledge_04.wav
ROB18.RAW      11025 assets/sounds/acknowledge_05.wav
ROB19.RAW      11025 assets/sounds/acknowledge_06.wav
ROB20.RAW      11025 assets/sounds/acknowledge_07.wav
ROB21.RAW      11025 assets/sounds/acknowledge_08.wav
ROB22.RAW      11025 assets/sounds/acknowledge_09.wav
ROB23.RAW      11025 assets/sounds/acknowledge_10.wav
ROB24.RAW      11025 assets/sounds/acknowledge_11.wav
COMP16.RAW     11025 assets/sounds/comp_fort_under_attack.wav
COMP03.RAW     11025 assets/sounds/comp_gun_manufactured.wav
COMP05.RAW     11025 assets/sounds/comp_manufacturing_canceled.wav
COMP09.RAW     11025 assets/sounds/comp_radar_activated.wav
COMP02.RAW     11025 assets/sounds/comp_robot_manufactured.wav
COMP04.RAW     11025 assets/sounds/comp_starting_manufacture.wav
COMP06.RAW     11025 assets/sounds/comp_starting_repair.wav
COMP08.RAW     11025 assets/sounds/comp_territory_lost.wav
COMP01.RAW     11025 assets/sounds/comp_vehicle_manufactured.wav
COMP07.RAW     11025 assets/sounds/comp_vehicle_repaired.wav
COMP19.RAW     11025 assets/sounds/comp_youre_losing_00.wav
COMP20.RAW     11025 assets/sounds/comp_youre_losing_01.wav
COMP10.RAW     11025 assets/sounds/comp_youre_losing_02.wav
COMP11.RAW     11025 assets/sounds/comp_youre_losing_03.wav
COMP12.RAW     11025 assets/sounds/comp_youre_losing_04.wav
COMP13.RAW     11025 assets/sounds/comp_youre_losing_05.wav
COMP14.RAW     11025 assets/sounds/comp_youre_losing_06.wav
COMP15.RAW     11025 assets/sounds/comp_youre_losing_07.wav
COMP18.RAW     11025 assets/sounds/comp_youre_losing_09.wav
EXP1.RAW       11025 assets/sounds/explosion_00.wav
EXP2.RAW       11025 assets/sounds/explosion_01.wav
ZEXPLO3.RAW    11025 assets/sounds/explosion_02.wav
ZEXPLO4.RAW    11025 assets/sounds/explosion_03.wav
ZEXPLO5.RAW    11025 assets/sounds/explosion_04.wav
ROB01.RAW      11025 assets/sounds/selected_00.wav
ROB02.RAW      11025 assets/sounds/selected_01.wav
ROB03.RAW      11025 assets/sounds/selected_02.wav
ROB04.RAW      11025 assets/sounds/selected_03.wav
ROB05.RAW      11025 assets/sounds/selected_04.wav
ROB06.RAW      11025 assets/sounds/selected_05.wav
ROB07.RAW      11025 assets/sounds/selected_grunt.wav
ROB11.RAW      11025 assets/sounds/selected_laser.wav
ROB08.RAW      11025 assets/sounds/selected_psycho.wav
ROB12.RAW      11025 assets/sounds/selected_pyro.wav
ROB09.RAW      11025 assets/sounds/selected_sniper.wav
ROB10.RAW      11025 assets/sounds/selected_tough.wav
